LSOA,IMD SCORE,RANK OF IMD SCORE (where 1 is most deprived),Percentile,Decile,IMD_Decile2010
E01008012,65.95,418,1.286866572,0.128686657,1
E01008907,65.95,419,1.2899452,0.12899452,1
E01010679,65.94,420,1.293023829,0.129302383,1
E01006350,65.94,421,1.296102457,0.129610246,1
E01008426,65.94,422,1.299181085,0.129918108,1
E01003503,65.93,423,1.302259713,0.130225971,1
E01010281,65.93,424,1.305338341,0.130533834,1
E01006509,65.88,425,1.308416969,0.130841697,1
E01016904,65.82,426,1.311495598,0.13114956,1
E01005325,65.81,427,1.314574226,0.131457423,1
E01006108,65.79,428,1.317652854,0.131765285,1
E01007024,65.77,429,1.320731482,0.132073148,1
E01007575,65.77,430,1.32381011,0.132381011,1
E01005086,65.62,431,1.326888738,0.132688874,1
E01007411,65.59,432,1.329967367,0.132996737,1
E01009571,65.57,433,1.333045995,0.133304599,1
E01007677,65.55,434,1.336124623,0.133612462,1
E01011746,65.53,435,1.339203251,0.133920325,1
E01006675,65.52,436,1.342281879,0.134228188,1
E01028265,65.51,437,1.345360507,0.134536051,1
E01009492,65.51,438,1.348439136,0.134843914,1
E01017038,65.5,439,1.351517764,0.135151776,1
E01012011,65.48,440,1.354596392,0.135459639,1
E01012113,65.45,441,1.35767502,0.135767502,1
E01019113,65.45,442,1.360753648,0.136075365,1
E01009489,65.41,443,1.363832276,0.136383228,1
E01010450,65.4,444,1.366910905,0.13669109,1
E01005464,65.4,445,1.369989533,0.136998953,1
E01015217,65.37,446,1.373068161,0.137306816,1
E01001847,65.35,447,1.376146789,0.137614679,1
E01026152,65.35,448,1.379225417,0.137922542,1
E01010733,65.34,449,1.382304045,0.138230405,1
E01024878,65.32,450,1.385382673,0.138538267,1
E01012354,65.31,451,1.388461302,0.13884613,1
E01005081,65.27,452,1.39153993,0.139153993,1
E01006872,65.25,453,1.394618558,0.139461856,1
E01019301,65.23,454,1.397697186,0.139769719,1
E01012874,65.23,455,1.400775814,0.140077581,1
E01009113,65.22,456,1.403854442,0.140385444,1
